Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
LAMBRIEX Bart FLORIS Van De,7,49er,14,G,6,,149,117,Semaine Olympique Francaise De Voile 2022
RASK Frederik PRECHT JENSEN,7,49er,15,G,7,,154,127,Semaine Olympique Francaise De Voile 2022
"STANIUL Mikotaj , KS SZTORCH Jakub",7,49er,27,G,8,,167,135,Semaine Olympique Francaise De Voile 2022
PRZYBYTEK Lukssz PIASECKI Jacek,7,49er,9,G,9,,169,137,Semaine Olympique Francaise De Voile 2022
MOLLERUS Andrew MACDIARMID Ian,7,49er,18,G,10,,174,143,Semaine Olympique Francaise De Voile 2022
BARROWS Ian HENKEN Hans,7,49er,16,G,11,,152,133,Semaine Olympique Francaise De Voile 2022
"DUNNING BECK Logan,GUNN Oscar",7,49er,1,G,12,,153,133,Semaine Olympique Francaise De Voile 2022
"MCHARDIE Isaac,MCKENZIE William",7,49er,11,G,13,,170,143,Semaine Olympique Francaise De Voile 2022
"CRIVELLI VISCON,CALABRO Giulio",7,49er,4,G,14,,174,143,Semaine Olympique Francaise De Voile 2022
DICKSON Robert TBC Tbc,7,49er,3,G,15,,177,145,Semaine Olympique Francaise De Voile 2022
BARRIO Andres TORRADO Antonio,7,49er,8,G,16,,184,156,Semaine Olympique Francaise De Voile 2022
FERRARESE Simone CHISTE Leonardo,7,49er,1,G,17,,208,176,Semaine Olympique Francaise De Voile 2022
NEEDHAM Thomas TURNER Joel,7,49er,13,G,18,,200,177,Semaine Olympique Francaise De Voile 2022
PRETTNER Keanu FLACHBERGER Jakob,7,49er,10,G,19,,205,180,Semaine Olympique Francaise De Voile 2022
FISCHER Kevin JAUVIN Yann,7,49er,7,G,20,,205,180,Semaine Olympique Francaise De Voile 2022
LEFEBVRE Yannick PELSMAEKERS Tom,7,49er,8,G,21,,218,187,Semaine Olympique Francaise De Voile 2022
"VAN VUGT Pim,HOUTMAN Scipio",7,49er,UFD (32),G,22,,229,197,Semaine Olympique Francaise De Voile 2022
"COLLEY Jim,CONNOR Shaun",7,49er,17,G,23,,234,208,Semaine Olympique Francaise De Voile 2022
"ROBINS Nick,BUDDEN Daniel",7,49er,11,G,24,,242,210,Semaine Olympique Francaise De Voile 2022
FERGUSON Jack PAUL Max,7,49er,3,G,25,,241,211,Semaine Olympique Francaise De Voile 2022
TAYLOR Chris GRUMMETT James,7,49er,10,G,26,,243,212,Semaine Olympique Francaise De Voile 2022
ANESSI Marco GAMBA Edoardo,7,49er,9,G,27,,240,212,Semaine Olympique Francaise De Voile 2022
"MEGGENDORFER,SPRANGER Andreas",7,49er,14,G,28,,271,240,Semaine Olympique Francaise De Voile 2022
"SALSKOV-IVERSEN,NIELSEN Markus",7,49er,15,G,29,,273,244,Semaine Olympique Francaise De Voile 2022
GUILFOYLE Seafra DURCAN Johnny,7,49er,23,G,30,,292,263,Semaine Olympique Francaise De Voile 2022
STINGELE Maximilian SCHEEL Linov,7,49er,25,G,31,,175,149,Semaine Olympique Francaise De Voile 2022
"BACON Sam,GAUTREY Henry",7,49er,23,G,32,,184,152,Semaine Olympique Francaise De Voile 2022
SAKAI Akira AYLSWORTH Russel,7,49er,26,G,33,,188,156,Semaine Olympique Francaise De Voile 2022
RICHNER Joshua SCHARER Nilo,7,49er,6,G,34,,183,156,Semaine Olympique Francaise De Voile 2022
"GLOGOWSKI Adam,KRUSIEC Maciej",7,49er,24,G,35,,189,157,Semaine Olympique Francaise De Voile 2022
TORRES Albert ELIAS Aretz,7,49er,18,G,36,,189,157,Semaine Olympique Francaise De Voile 2022
PETERS James HUGUES Alexander,7,49er,17,G,37,,189,162,Semaine Olympique Francaise De Voile 2022
NYBORG Daniel LEHM SLETTEN,7,49er,5,G,38,,190,165,Semaine Olympique Francaise De Voile 2022
HOLMAN Arran TAYLOR James,7,49er,22,G,39,,199,169,Semaine Olympique Francaise De Voile 2022
"BURTON Tom,HOFFMAN Simon",7,49er,2,G,40,,203,171,Semaine Olympique Francaise De Voile 2022
LYNGBEK Phillip FUGLBJERG Mads,7,49er,13,G,41,,208,176,Semaine Olympique Francaise De Voile 2022
BERTHET Mathias NILSEN Jeppe,7,49er,19,G,42,,207,178,Semaine Olympique Francaise De Voile 2022
"KORHONEN Ville,BREMER Edvard",7,49er,7,G,43,,215,186,Semaine Olympique Francaise De Voile 2022
"BUTOWSKI Tytus,MACHOWSKI Lukasz",7,49er,16,G,44,,227,195,Semaine Olympique Francaise De Voile 2022
"KELAPANDA,THAKKAR Varun",7,49er,5,G,45,,232,200,Semaine Olympique Francaise De Voile 2022
PIETZCKER Paul VON OPPEN Linus,7,49er,21,G,46,,235,210,Semaine Olympique Francaise De Voile 2022
DE JONGHE Arthur HEUNINCK Jan,7,49er,28,G,47,,244,212,Semaine Olympique Francaise De Voile 2022
HENRY Otto DAVEY Miles,7,49er,12,G,48,,249,217,Semaine Olympique Francaise De Voile 2022
BERGSTROM Fredrik MUNKBY Axel,7,49er,22,G,49,,248,222,Semaine Olympique Francaise De Voile 2022
WIZNER Martin WIZNER Jaime,7,49er,31,G,50,,258,226,Semaine Olympique Francaise De Voile 2022
LITTLECHILD Ryan HILDEBRAND Jack,7,49er,20,G,51,,265,233,Semaine Olympique Francaise De Voile 2022
DE VOS Wiebrand MOLIAKOV Aleksander,7,49er,27,G,52,,270,240,Semaine Olympique Francaise De Voile 2022
NOBLE Prince FRANCIS Manu,7,49er,24,G,53,,275,243,Semaine Olympique Francaise De Voile 2022
"KIM KYOUNGDUK,BAE Sangwoo",7,49er,25,G,54,,273,245,Semaine Olympique Francaise De Voile 2022
KAGIALIS Pavlos ORFANOS Ioannis,7,49er,12,G,55,,286,254,Semaine Olympique Francaise De Voile 2022
"CHAE BONGJIN,SHIN Sangmin",7,49er,30,G,56,,307,275,Semaine Olympique Francaise De Voile 2022
GOULON Corentin BERTIN Youenn,7,49er,26,G,57,,315,283,Semaine Olympique Francaise De Voile 2022
"KENNISH Malo,MARTIN Anatole",7,49er,20,G,58,,316,284,Semaine Olympique Francaise De Voile 2022
MASCIA Gianmarco CORDINI Pietro,7,49er,28,G,59,,344,312,Semaine Olympique Francaise De Voile 2022
"BUKSAK Dominik , KS WIERZBICKI Szymon",7,49er,1,G,1,,89,66,Semaine Olympique Francaise De Voile 2022
SNOW Nevin AGNESE Maximiliano,7,49er,3,G,2,,111,93,Semaine Olympique Francaise De Voile 2022
FISCHER Erwan PEQUIN Clement,7,49er,1,G,3,,113,94,Semaine Olympique Francaise De Voile 2022
"BOTIN LE CHEVER,TRITTEL PAUL Florian",7,49er,5,G,4,,121,103,Semaine Olympique Francaise De Voile 2022
RUAL Lucas AMOROS Emile,7,49er,4,G,5,,137,116,Semaine Olympique Francaise De Voile 2022
LAMBRIEX Bart FLORIS Van De,7,49er,7,G,6,,149,117,Semaine Olympique Francaise De Voile 2022
RASK Frederik PRECHT JENSEN,7,49er,2,G,7,,154,127,Semaine Olympique Francaise De Voile 2022
"STANIUL Mikotaj , KS SZTORCH Jakub",7,49er,2,G,8,,167,135,Semaine Olympique Francaise De Voile 2022
PRZYBYTEK Lukssz PIASECKI Jacek,7,49er,7,G,9,,169,137,Semaine Olympique Francaise De Voile 2022
MOLLERUS Andrew MACDIARMID Ian,7,49er,10,G,10,,174,143,Semaine Olympique Francaise De Voile 2022
BARROWS Ian HENKEN Hans,7,49er,8,G,11,,152,133,Semaine Olympique Francaise De Voile 2022
"DUNNING BECK Logan,GUNN Oscar",7,49er,13,G,12,,153,133,Semaine Olympique Francaise De Voile 2022
"MCHARDIE Isaac,MCKENZIE William",7,49er,3,G,13,,170,143,Semaine Olympique Francaise De Voile 2022
"CRIVELLI VISCON,CALABRO Giulio",7,49er,6,G,14,,174,143,Semaine Olympique Francaise De Voile 2022
DICKSON Robert TBC Tbc,7,49er,4,G,15,,177,145,Semaine Olympique Francaise De Voile 2022
BARRIO Andres TORRADO Antonio,7,49er,13,G,16,,184,156,Semaine Olympique Francaise De Voile 2022
FERRARESE Simone CHISTE Leonardo,7,49er,12,G,17,,208,176,Semaine Olympique Francaise De Voile 2022
NEEDHAM Thomas TURNER Joel,7,49er,9,G,18,,200,177,Semaine Olympique Francaise De Voile 2022
PRETTNER Keanu FLACHBERGER Jakob,7,49er,-25,G,19,,205,180,Semaine Olympique Francaise De Voile 2022
FISCHER Kevin JAUVIN Yann,7,49er,5,G,20,,205,180,Semaine Olympique Francaise De Voile 2022
LEFEBVRE Yannick PELSMAEKERS Tom,7,49er,12,G,21,,218,187,Semaine Olympique Francaise De Voile 2022
"VAN VUGT Pim,HOUTMAN Scipio",7,49er,15,G,22,,229,197,Semaine Olympique Francaise De Voile 2022
"COLLEY Jim,CONNOR Shaun",7,49er,18,G,23,,234,208,Semaine Olympique Francaise De Voile 2022
"ROBINS Nick,BUDDEN Daniel",7,49er,9,G,24,,242,210,Semaine Olympique Francaise De Voile 2022
FERGUSON Jack PAUL Max,7,49er,14,G,25,,241,211,Semaine Olympique Francaise De Voile 2022
TAYLOR Chris GRUMMETT James,7,49er,17,G,26,,243,212,Semaine Olympique Francaise De Voile 2022
ANESSI Marco GAMBA Edoardo,7,49er,16,G,27,,240,212,Semaine Olympique Francaise De Voile 2022
"MEGGENDORFER,SPRANGER Andreas",7,49er,17,G,28,,271,240,Semaine Olympique Francaise De Voile 2022
"SALSKOV-IVERSEN,NIELSEN Markus",7,49er,11,G,29,,273,244,Semaine Olympique Francaise De Voile 2022
GUILFOYLE Seafra DURCAN Johnny,7,49er,10,G,30,,292,263,Semaine Olympique Francaise De Voile 2022
STINGELE Maximilian SCHEEL Linov,7,49er,8,G,31,,175,149,Semaine Olympique Francaise De Voile 2022
"BACON Sam,GAUTREY Henry",7,49er,22,G,32,,184,152,Semaine Olympique Francaise De Voile 2022
SAKAI Akira AYLSWORTH Russel,7,49er,6,G,33,,188,156,Semaine Olympique Francaise De Voile 2022
RICHNER Joshua SCHARER Nilo,7,49er,18,G,34,,183,156,Semaine Olympique Francaise De Voile 2022
"GLOGOWSKI Adam,KRUSIEC Maciej",7,49er,11,G,35,,189,157,Semaine Olympique Francaise De Voile 2022
TORRES Albert ELIAS Aretz,7,49er,14,G,36,,189,157,Semaine Olympique Francaise De Voile 2022
PETERS James HUGUES Alexander,7,49er,20,G,37,,189,162,Semaine Olympique Francaise De Voile 2022
NYBORG Daniel LEHM SLETTEN,7,49er,19,G,38,,190,165,Semaine Olympique Francaise De Voile 2022
HOLMAN Arran TAYLOR James,7,49er,-30,G,39,,199,169,Semaine Olympique Francaise De Voile 2022
"BURTON Tom,HOFFMAN Simon",7,49er,16,G,40,,203,171,Semaine Olympique Francaise De Voile 2022
LYNGBEK Phillip FUGLBJERG Mads,7,49er,DSQ (32),G,41,,208,176,Semaine Olympique Francaise De Voile 2022
BERTHET Mathias NILSEN Jeppe,7,49er,-29,G,42,,207,178,Semaine Olympique Francaise De Voile 2022
"KORHONEN Ville,BREMER Edvard",7,49er,15,G,43,,215,186,Semaine Olympique Francaise De Voile 2022
"BUTOWSKI Tytus,MACHOWSKI Lukasz",7,49er,28,G,44,,227,195,Semaine Olympique Francaise De Voile 2022
"KELAPANDA,THAKKAR Varun",7,49er,21,G,45,,232,200,Semaine Olympique Francaise De Voile 2022
PIETZCKER Paul VON OPPEN Linus,7,49er,-25,G,46,,235,210,Semaine Olympique Francaise De Voile 2022
DE JONGHE Arthur HEUNINCK Jan,7,49er,24,G,47,,244,212,Semaine Olympique Francaise De Voile 2022
HENRY Otto DAVEY Miles,7,49er,21,G,48,,249,217,Semaine Olympique Francaise De Voile 2022
BERGSTROM Fredrik MUNKBY Axel,7,49er,19,G,49,,248,222,Semaine Olympique Francaise De Voile 2022
WIZNER Martin WIZNER Jaime,7,49er,20,G,50,,258,226,Semaine Olympique Francaise De Voile 2022
LITTLECHILD Ryan HILDEBRAND Jack,7,49er,27,G,51,,265,233,Semaine Olympique Francaise De Voile 2022
DE VOS Wiebrand MOLIAKOV Aleksander,7,49er,23,G,52,,270,240,Semaine Olympique Francaise De Voile 2022
NOBLE Prince FRANCIS Manu,7,49er,23,G,53,,275,243,Semaine Olympique Francaise De Voile 2022
"KIM KYOUNGDUK,BAE Sangwoo",7,49er,27,G,54,,273,245,Semaine Olympique Francaise De Voile 2022
KAGIALIS Pavlos ORFANOS Ioannis,7,49er,22,G,55,,286,254,Semaine Olympique Francaise De Voile 2022
"CHAE BONGJIN,SHIN Sangmin",7,49er,26,G,56,,307,275,Semaine Olympique Francaise De Voile 2022
GOULON Corentin BERTIN Youenn,7,49er,26,G,57,,315,283,Semaine Olympique Francaise De Voile 2022
"KENNISH Malo,MARTIN Anatole",7,49er,24,G,58,,316,284,Semaine Olympique Francaise De Voile 2022
MASCIA Gianmarco CORDINI Pietro,7,49er,DNF 32,G,59,,344,312,Semaine Olympique Francaise De Voile 2022
"BUKSAK Dominik , KS WIERZBICKI Szymon",7,49er,1,G,1,,89,66,Semaine Olympique Francaise De Voile 2022
SNOW Nevin AGNESE Maximiliano,7,49er,3,G,2,,111,93,Semaine Olympique Francaise De Voile 2022
FISCHER Erwan PEQUIN Clement,7,49er,1,G,3,,113,94,Semaine Olympique Francaise De Voile 2022
"BOTIN LE CHEVER,TRITTEL PAUL Florian",7,49er,7,G,4,,121,103,Semaine Olympique Francaise De Voile 2022
RUAL Lucas AMOROS Emile,7,49er,5,G,5,,137,116,Semaine Olympique Francaise De Voile 2022
LAMBRIEX Bart FLORIS Van De,7,49er,8,G,6,,149,117,Semaine Olympique Francaise De Voile 2022
RASK Frederik PRECHT JENSEN,7,49er,9,G,7,,154,127,Semaine Olympique Francaise De Voile 2022
"STANIUL Mikotaj , KS SZTORCH Jakub",7,49er,4,G,8,,167,135,Semaine Olympique Francaise De Voile 2022
PRZYBYTEK Lukssz PIASECKI Jacek,7,49er,7,G,9,,169,137,Semaine Olympique Francaise De Voile 2022
MOLLERUS Andrew MACDIARMID Ian,7,49er,2,G,10,,174,143,Semaine Olympique Francaise De Voile 2022
BARROWS Ian HENKEN Hans,7,49er,16,G,11,,152,133,Semaine Olympique Francaise De Voile 2022
"DUNNING BECK Logan,GUNN Oscar",7,49er,11,G,12,,153,133,Semaine Olympique Francaise De Voile 2022
"MCHARDIE Isaac,MCKENZIE William",7,49er,2,G,13,,170,143,Semaine Olympique Francaise De Voile 2022
"CRIVELLI VISCON,CALABRO Giulio",7,49er,14,G,14,,174,143,Semaine Olympique Francaise De Voile 2022
DICKSON Robert TBC Tbc,7,49er,11,G,15,,177,145,Semaine Olympique Francaise De Voile 2022
BARRIO Andres TORRADO Antonio,7,49er,6,G,16,,184,156,Semaine Olympique Francaise De Voile 2022
FERRARESE Simone CHISTE Leonardo,7,49er,9,G,17,,208,176,Semaine Olympique Francaise De Voile 2022
NEEDHAM Thomas TURNER Joel,7,49er,10,G,18,,200,177,Semaine Olympique Francaise De Voile 2022
PRETTNER Keanu FLACHBERGER Jakob,7,49er,10,G,19,,205,180,Semaine Olympique Francaise De Voile 2022
FISCHER Kevin JAUVIN Yann,7,49er,23,G,20,,205,180,Semaine Olympique Francaise De Voile 2022
LEFEBVRE Yannick PELSMAEKERS Tom,7,49er,13,G,21,,218,187,Semaine Olympique Francaise De Voile 2022
"VAN VUGT Pim,HOUTMAN Scipio",7,49er,15,G,22,,229,197,Semaine Olympique Francaise De Voile 2022
"COLLEY Jim,CONNOR Shaun",7,49er,14,G,23,,234,208,Semaine Olympique Francaise De Voile 2022
"ROBINS Nick,BUDDEN Daniel",7,49er,8,G,24,,242,210,Semaine Olympique Francaise De Voile 2022
FERGUSON Jack PAUL Max,7,49er,3,G,25,,241,211,Semaine Olympique Francaise De Voile 2022
TAYLOR Chris GRUMMETT James,7,49er,23,G,26,,243,212,Semaine Olympique Francaise De Voile 2022
ANESSI Marco GAMBA Edoardo,7,49er,5,G,27,,240,212,Semaine Olympique Francaise De Voile 2022
"MEGGENDORFER,SPRANGER Andreas",7,49er,4,G,28,,271,240,Semaine Olympique Francaise De Voile 2022
"SALSKOV-IVERSEN,NIELSEN Markus",7,49er,12,G,29,,273,244,Semaine Olympique Francaise De Voile 2022
GUILFOYLE Seafra DURCAN Johnny,7,49er,18,G,30,,292,263,Semaine Olympique Francaise De Voile 2022
STINGELE Maximilian SCHEEL Linov,7,49er,15,G,31,,175,149,Semaine Olympique Francaise De Voile 2022
"BACON Sam,GAUTREY Henry",7,49er,20,G,32,,184,152,Semaine Olympique Francaise De Voile 2022
SAKAI Akira AYLSWORTH Russel,7,49er,6,G,33,,188,156,Semaine Olympique Francaise De Voile 2022
RICHNER Joshua SCHARER Nilo,7,49er,21,G,34,,183,156,Semaine Olympique Francaise De Voile 2022
"GLOGOWSKI Adam,KRUSIEC Maciej",7,49er,UFD 32,G,35,,189,157,Semaine Olympique Francaise De Voile 2022
TORRES Albert ELIAS Aretz,7,49er,17,G,36,,189,157,Semaine Olympique Francaise De Voile 2022
PETERS James HUGUES Alexander,7,49er,13,G,37,,189,162,Semaine Olympique Francaise De Voile 2022
NYBORG Daniel LEHM SLETTEN,7,49er,16,G,38,,190,165,Semaine Olympique Francaise De Voile 2022
HOLMAN Arran TAYLOR James,7,49er,17,G,39,,199,169,Semaine Olympique Francaise De Voile 2022
"BURTON Tom,HOFFMAN Simon",7,49er,21,G,40,,203,171,Semaine Olympique Francaise De Voile 2022
LYNGBEK Phillip FUGLBJERG Mads,7,49er,18,G,41,,208,176,Semaine Olympique Francaise De Voile 2022
BERTHET Mathias NILSEN Jeppe,7,49er,20,G,42,,207,178,Semaine Olympique Francaise De Voile 2022
"KORHONEN Ville,BREMER Edvard",7,49er,19,G,43,,215,186,Semaine Olympique Francaise De Voile 2022
"BUTOWSKI Tytus,MACHOWSKI Lukasz",7,49er,UFD (32),G,44,,227,195,Semaine Olympique Francaise De Voile 2022
"KELAPANDA,THAKKAR Varun",7,49er,12,G,45,,232,200,Semaine Olympique Francaise De Voile 2022
PIETZCKER Paul VON OPPEN Linus,7,49er,19,G,46,,235,210,Semaine Olympique Francaise De Voile 2022
DE JONGHE Arthur HEUNINCK Jan,7,49er,22,G,47,,244,212,Semaine Olympique Francaise De Voile 2022
HENRY Otto DAVEY Miles,7,49er,26,G,48,,249,217,Semaine Olympique Francaise De Voile 2022
BERGSTROM Fredrik MUNKBY Axel,7,49er,25,G,49,,248,222,Semaine Olympique Francaise De Voile 2022
WIZNER Martin WIZNER Jaime,7,49er,DNF 32,G,50,,258,226,Semaine Olympique Francaise De Voile 2022
LITTLECHILD Ryan HILDEBRAND Jack,7,49er,27,G,51,,265,233,Semaine Olympique Francaise De Voile 2022
DE VOS Wiebrand MOLIAKOV Aleksander,7,49er,24,G,52,,270,240,Semaine Olympique Francaise De Voile 2022
NOBLE Prince FRANCIS Manu,7,49er,22,G,53,,275,243,Semaine Olympique Francaise De Voile 2022
"KIM KYOUNGDUK,BAE Sangwoo",7,49er,24,G,54,,273,245,Semaine Olympique Francaise De Voile 2022
KAGIALIS Pavlos ORFANOS Ioannis,7,49er,28,G,55,,286,254,Semaine Olympique Francaise De Voile 2022
"CHAE BONGJIN,SHIN Sangmin",7,49er,27,G,56,,307,275,Semaine Olympique Francaise De Voile 2022
GOULON Corentin BERTIN Youenn,7,49er,26,G,57,,315,283,Semaine Olympique Francaise De Voile 2022
"KENNISH Malo,MARTIN Anatole",7,49er,25,G,58,,316,284,Semaine Olympique Francaise De Voile 2022
MASCIA Gianmarco CORDINI Pietro,7,49er,28,G,59,,344,312,Semaine Olympique Francaise De Voile 2022
"BUKSAK Dominik , KS WIERZBICKI Szymon",7,49er,4,G,1,,89,66,Semaine Olympique Francaise De Voile 2022
SNOW Nevin AGNESE Maximiliano,7,49er,11,G,2,,111,93,Semaine Olympique Francaise De Voile 2022
FISCHER Erwan PEQUIN Clement,7,49er,16,G,3,,113,94,Semaine Olympique Francaise De Voile 2022
"BOTIN LE CHEVER,TRITTEL PAUL Florian",7,49er,3,G,4,,121,103,Semaine Olympique Francaise De Voile 2022
RUAL Lucas AMOROS Emile,7,49er,15,G,5,,137,116,Semaine Olympique Francaise De Voile 2022
LAMBRIEX Bart FLORIS Van De,7,49er,6,G,6,,149,117,Semaine Olympique Francaise De Voile 2022
RASK Frederik PRECHT JENSEN,7,49er,9,G,7,,154,127,Semaine Olympique Francaise De Voile 2022
"STANIUL Mikotaj , KS SZTORCH Jakub",7,49er,DSQ (32),G,8,,167,135,Semaine Olympique Francaise De Voile 2022
PRZYBYTEK Lukssz PIASECKI Jacek,7,49er,8,G,9,,169,137,Semaine Olympique Francaise De Voile 2022
MOLLERUS Andrew MACDIARMID Ian,7,49er,1,G,10,,174,143,Semaine Olympique Francaise De Voile 2022
BARROWS Ian HENKEN Hans,7,49er,1,G,11,,152,133,Semaine Olympique Francaise De Voile 2022
"DUNNING BECK Logan,GUNN Oscar",7,49er,5,G,12,,153,133,Semaine Olympique Francaise De Voile 2022
"MCHARDIE Isaac,MCKENZIE William",7,49er,20,G,13,,170,143,Semaine Olympique Francaise De Voile 2022
"CRIVELLI VISCON,CALABRO Giulio",7,49er,18,G,14,,174,143,Semaine Olympique Francaise De Voile 2022
DICKSON Robert TBC Tbc,7,49er,3,G,15,,177,145,Semaine Olympique Francaise De Voile 2022
BARRIO Andres TORRADO Antonio,7,49er,17,G,16,,184,156,Semaine Olympique Francaise De Voile 2022
FERRARESE Simone CHISTE Leonardo,7,49er,2,G,17,,208,176,Semaine Olympique Francaise De Voile 2022
NEEDHAM Thomas TURNER Joel,7,49er,13,G,18,,200,177,Semaine Olympique Francaise De Voile 2022
PRETTNER Keanu FLACHBERGER Jakob,7,49er,6,G,19,,205,180,Semaine Olympique Francaise De Voile 2022
FISCHER Kevin JAUVIN Yann,7,49er,10,G,20,,205,180,Semaine Olympique Francaise De Voile 2022
LEFEBVRE Yannick PELSMAEKERS Tom,7,49er,5,G,21,,218,187,Semaine Olympique Francaise De Voile 2022
"VAN VUGT Pim,HOUTMAN Scipio",7,49er,22,G,22,,229,197,Semaine Olympique Francaise De Voile 2022
"COLLEY Jim,CONNOR Shaun",7,49er,7,G,23,,234,208,Semaine Olympique Francaise De Voile 2022
"ROBINS Nick,BUDDEN Daniel",7,49er,20,G,24,,242,210,Semaine Olympique Francaise De Voile 2022
FERGUSON Jack PAUL Max,7,49er,23,G,25,,241,211,Semaine Olympique Francaise De Voile 2022
TAYLOR Chris GRUMMETT James,7,49er,17,G,26,,243,212,Semaine Olympique Francaise De Voile 2022
ANESSI Marco GAMBA Edoardo,7,49er,10,G,27,,240,212,Semaine Olympique Francaise De Voile 2022
"MEGGENDORFER,SPRANGER Andreas",7,49er,4,G,28,,271,240,Semaine Olympique Francaise De Voile 2022
"SALSKOV-IVERSEN,NIELSEN Markus",7,49er,14,G,29,,273,244,Semaine Olympique Francaise De Voile 2022
GUILFOYLE Seafra DURCAN Johnny,7,49er,8,G,30,,292,263,Semaine Olympique Francaise De Voile 2022
STINGELE Maximilian SCHEEL Linov,7,49er,12,G,31,,175,149,Semaine Olympique Francaise De Voile 2022
"BACON Sam,GAUTREY Henry",7,49er,BFD (32),G,32,,184,152,Semaine Olympique Francaise De Voile 2022
SAKAI Akira AYLSWORTH Russel,7,49er,2,G,33,,188,156,Semaine Olympique Francaise De Voile 2022
RICHNER Joshua SCHARER Nilo,7,49er,15,G,34,,183,156,Semaine Olympique Francaise De Voile 2022
"GLOGOWSKI Adam,KRUSIEC Maciej",7,49er,19,G,35,,189,157,Semaine Olympique Francaise De Voile 2022
TORRES Albert ELIAS Aretz,7,49er,13,G,36,,189,157,Semaine Olympique Francaise De Voile 2022
PETERS James HUGUES Alexander,7,49er,11,G,37,,189,162,Semaine Olympique Francaise De Voile 2022
NYBORG Daniel LEHM SLETTEN,7,49er,-25,G,38,,190,165,Semaine Olympique Francaise De Voile 2022
HOLMAN Arran TAYLOR James,7,49er,16,G,39,,199,169,Semaine Olympique Francaise De Voile 2022
"BURTON Tom,HOFFMAN Simon",7,49er,26,G,40,,203,171,Semaine Olympique Francaise De Voile 2022
LYNGBEK Phillip FUGLBJERG Mads,7,49er,9,G,41,,208,176,Semaine Olympique Francaise De Voile 2022
BERTHET Mathias NILSEN Jeppe,7,49er,7,G,42,,207,178,Semaine Olympique Francaise De Voile 2022
"KORHONEN Ville,BREMER Edvard",7,49er,21,G,43,,215,186,Semaine Olympique Francaise De Voile 2022
"BUTOWSKI Tytus,MACHOWSKI Lukasz",7,49er,21,G,44,,227,195,Semaine Olympique Francaise De Voile 2022
"KELAPANDA,THAKKAR Varun",7,49er,12,G,45,,232,200,Semaine Olympique Francaise De Voile 2022
PIETZCKER Paul VON OPPEN Linus,7,49er,24,G,46,,235,210,Semaine Olympique Francaise De Voile 2022
DE JONGHE Arthur HEUNINCK Jan,7,49er,22,G,47,,244,212,Semaine Olympique Francaise De Voile 2022
HENRY Otto DAVEY Miles,7,49er,18,G,48,,249,217,Semaine Olympique Francaise De Voile 2022
BERGSTROM Fredrik MUNKBY Axel,7,49er,25,G,49,,248,222,Semaine Olympique Francaise De Voile 2022
WIZNER Martin WIZNER Jaime,7,49er,19,G,50,,258,226,Semaine Olympique Francaise De Voile 2022
LITTLECHILD Ryan HILDEBRAND Jack,7,49er,28,G,51,,265,233,Semaine Olympique Francaise De Voile 2022
DE VOS Wiebrand MOLIAKOV Aleksander,7,49er,-30,G,52,,270,240,Semaine Olympique Francaise De Voile 2022
NOBLE Prince FRANCIS Manu,7,49er,14,G,53,,275,243,Semaine Olympique Francaise De Voile 2022
"KIM KYOUNGDUK,BAE Sangwoo",7,49er,26,G,54,,273,245,Semaine Olympique Francaise De Voile 2022
KAGIALIS Pavlos ORFANOS Ioannis,7,49er,29,G,55,,286,254,Semaine Olympique Francaise De Voile 2022
"CHAE BONGJIN,SHIN Sangmin",7,49er,24,G,56,,307,275,Semaine Olympique Francaise De Voile 2022
GOULON Corentin BERTIN Youenn,7,49er,27,G,57,,315,283,Semaine Olympique Francaise De Voile 2022
"KENNISH Malo,MARTIN Anatole",7,49er,23,G,58,,316,284,Semaine Olympique Francaise De Voile 2022
MASCIA Gianmarco CORDINI Pietro,7,49er,27,G,59,,344,312,Semaine Olympique Francaise De Voile 2022
"BUKSAK Dominik , KS WIERZBICKI Szymon",7,49er,2,G,1,,89,66,Semaine Olympique Francaise De Voile 2022
SNOW Nevin AGNESE Maximiliano,7,49er,5,G,2,,111,93,Semaine Olympique Francaise De Voile 2022
FISCHER Erwan PEQUIN Clement,7,49er,9,G,3,,113,94,Semaine Olympique Francaise De Voile 2022
"BOTIN LE CHEVER,TRITTEL PAUL Florian",7,49er,4,G,4,,121,103,Semaine Olympique Francaise De Voile 2022
RUAL Lucas AMOROS Emile,7,49er,4,G,5,,137,116,Semaine Olympique Francaise De Voile 2022
LAMBRIEX Bart FLORIS Van De,7,49er,10,G,6,,149,117,Semaine Olympique Francaise De Voile 2022
RASK Frederik PRECHT JENSEN,7,49er,1,G,7,,154,127,Semaine Olympique Francaise De Voile 2022
"STANIUL Mikotaj , KS SZTORCH Jakub",7,49er,8,G,8,,167,135,Semaine Olympique Francaise De Voile 2022
PRZYBYTEK Lukssz PIASECKI Jacek,7,49er,6,G,9,,169,137,Semaine Olympique Francaise De Voile 2022
MOLLERUS Andrew MACDIARMID Ian,7,49er,2,G,10,,174,143,Semaine Olympique Francaise De Voile 2022
BARROWS Ian HENKEN Hans,7,49er,3,G,11,,152,133,Semaine Olympique Francaise De Voile 2022
"DUNNING BECK Logan,GUNN Oscar",7,49er,14,G,12,,153,133,Semaine Olympique Francaise De Voile 2022
"MCHARDIE Isaac,MCKENZIE William",7,49er,15,G,13,,170,143,Semaine Olympique Francaise De Voile 2022
