Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
Lucy WILMOTErika REINEKE,12,49erFX,31.0,G,31,,408.0,371.0,World Championship 2022
Anna YAMAZAKIN/A,12,49erFX,25.0,G,32,,415.0,378.0,World Championship 2022
Marija Andela de MICHELI-VITTURIMihaela de MICHELI VITTURI,12,49erFX,13.0,G,33,,446.0,411.0,World Championship 2022
Hannah STEADMANGabrielle RIZIKA,12,49erFX,(37.0),G,34,,512.0,475.0,World Championship 2022
Ronja GRÖNBLOMVeera HOKKA,12,49erFX,1.0,G,35,,528.0,491.0,World Championship 2022
Tate HOWELLAdrianna BAIRD,12,49erFX,(37.0),G,36,,535.0,498.0,World Championship 2022
Odile van AANHOLTAnnette DUETZ,12,49erFX,1.0,G,1,,113.0,84.0,World Championship 2022
Vilma BOBECKRebecca NETZLER,12,49erFX,3.0,G,2,,134.0,103.0,World Championship 2022
Támara ECHEGOYENPaula BARCELÓ,12,49erFX,2.0,G,3,,151.0,127.0,World Championship 2022
Aleksandra MELZACKASandra JANKOWIAK,12,49erFX,15.0,G,4,,183.0,151.0,World Championship 2022
Stephanie ROBLEMaggie SHEA,12,49erFX,25.0,G,5,,187.0,155.0,World Championship 2022
Patricia SUÁREZMaria CANTERO IZQUIERDO,12,49erFX,5.0,G,6,,193.0,161.0,World Championship 2022
Martine GRAELKahena KUNZE,12,49erFX,17.0,G,7,,184.0,164.0,World Championship 2022
Alexandra MALONEYOlivia HOBBS,12,49erFX,(26.0),G,8,,201.0,175.0,World Championship 2022
Freya BLACKSaskia TIDEY,12,49erFX,13.0,G,9,,208.0,176.0,World Championship 2022
Isaura MAENHAUTAnouk GEURTS,12,49erFX,19.0,G,10,,221.0,196.0,World Championship 2022
Jo ALEHMolly MEECH,12,49erFX,20.0,G,11,,215.0,183.0,World Championship 2022
Jana GERMANIGiorgia BERTUZZI,12,49erFX,11.0,G,12,,220.0,192.0,World Championship 2022
Helene NÆSSMarie RØNNINGEN,12,49erFX,8.0,G,13,,240.0,214.0,World Championship 2022
Georgia LEWIN-LAFRANCEAntonia LEWIN-LAFRANCE,12,49erFX,6.0,G,14,,249.1,221.1,World Championship 2022
Inga-Marie HOFMANNCatherine BARTELHEIMER,12,49erFX,4.0,G,15,,255.0,225.0,World Championship 2022
Laura HARDINGAnnie WILMOT,12,49erFX,10.0,G,16,,262.0,231.0,World Championship 2022
Xiaoyu HUXuebin YU,12,49erFX,22.0,G,17,,267.0,232.0,World Championship 2022
Megan BRICKWOODStephanie ORTON,12,49erFX,23.0,G,18,,274.0,241.0,World Championship 2022
Alexandra TEN HOVEMariah MILLEN,12,49erFX,12.0,G,19,,300.0,266.0,World Championship 2022
Lara GRANIERAmélie RIOU,12,49erFX,16.0,G,20,,309.0,272.0,World Championship 2022
Marla BERGMANNHanna WILLE,12,49erFX,9.0,G,21,,304.0,272.0,World Championship 2022
Shasha CHENMengting WANG,12,49erFX,18.0,G,22,,315.0,278.0,World Championship 2022
Maru SCHEELFreya FEILCKE,12,49erFX,24.0,G,23,,347.0,314.0,World Championship 2022
Sarah STEYAERTCharline PICON,12,49erFX,30.0,G,24,,363.0,326.0,World Championship 2022
Tess LLOYDDervla DUGGAN,12,49erFX,(29.0),G,25,,358.0,329.0,World Championship 2022
Olivia PRICEEvie HASELDINE,12,49erFX,7.0,G,26,,360.0,331.0,World Championship 2022
Carlotta OMARISveva CARRARO,12,49erFX,(32.0),G,27,,365.0,333.0,World Championship 2022
Arianna PASSAMONTIGiulia FAVA,12,49erFX,28.0,G,28,,385.0,348.0,World Championship 2022
Misaki TANAKASera NAGAMATSU,12,49erFX,27.0,G,29,,392.0,355.0,World Championship 2022
Nadine BÖHMLena Marie WEIßKICHEL,12,49erFX,33.0,G,30,,393.0,359.0,World Championship 2022
Lucy WILMOTErika REINEKE,12,49erFX,31.0,G,31,,408.0,371.0,World Championship 2022
Anna YAMAZAKIN/A,12,49erFX,14.0,G,32,,415.0,378.0,World Championship 2022
Marija Andela de MICHELI-VITTURIMihaela de MICHELI VITTURI,12,49erFX,34.0,G,33,,446.0,411.0,World Championship 2022
Hannah STEADMANGabrielle RIZIKA,12,49erFX,35.0,G,34,,512.0,475.0,World Championship 2022
Ronja GRÖNBLOMVeera HOKKA,12,49erFX,21.0,G,35,,528.0,491.0,World Championship 2022
Tate HOWELLAdrianna BAIRD,12,49erFX,37.0,G,36,,535.0,498.0,World Championship 2022
Odile van AANHOLTAnnette DUETZ,12,49erFX,1.0,G,1,,113.0,84.0,World Championship 2022
Vilma BOBECKRebecca NETZLER,12,49erFX,2.0,G,2,,134.0,103.0,World Championship 2022
Támara ECHEGOYENPaula BARCELÓ,12,49erFX,3.0,G,3,,151.0,127.0,World Championship 2022
Aleksandra MELZACKASandra JANKOWIAK,12,49erFX,16.0,G,4,,183.0,151.0,World Championship 2022
Stephanie ROBLEMaggie SHEA,12,49erFX,24.0,G,5,,187.0,155.0,World Championship 2022
Patricia SUÁREZMaria CANTERO IZQUIERDO,12,49erFX,6.0,G,6,,193.0,161.0,World Championship 2022
Martine GRAELKahena KUNZE,12,49erFX,4.0,G,7,,184.0,164.0,World Championship 2022
Alexandra MALONEYOlivia HOBBS,12,49erFX,13.0,G,8,,201.0,175.0,World Championship 2022
Freya BLACKSaskia TIDEY,12,49erFX,11.0,G,9,,208.0,176.0,World Championship 2022
Isaura MAENHAUTAnouk GEURTS,12,49erFX,5.0,G,10,,221.0,196.0,World Championship 2022
Jo ALEHMolly MEECH,12,49erFX,8.0,G,11,,215.0,183.0,World Championship 2022
Jana GERMANIGiorgia BERTUZZI,12,49erFX,9.0,G,12,,220.0,192.0,World Championship 2022
Helene NÆSSMarie RØNNINGEN,12,49erFX,20.0,G,13,,240.0,214.0,World Championship 2022
Georgia LEWIN-LAFRANCEAntonia LEWIN-LAFRANCE,12,49erFX,21.0,G,14,,249.1,221.1,World Championship 2022
Inga-Marie HOFMANNCatherine BARTELHEIMER,12,49erFX,(30.0),G,15,,255.0,225.0,World Championship 2022
Laura HARDINGAnnie WILMOT,12,49erFX,10.0,G,16,,262.0,231.0,World Championship 2022
Xiaoyu HUXuebin YU,12,49erFX,(35.0),G,17,,267.0,232.0,World Championship 2022
Megan BRICKWOODStephanie ORTON,12,49erFX,12.0,G,18,,274.0,241.0,World Championship 2022
Alexandra TEN HOVEMariah MILLEN,12,49erFX,14.0,G,19,,300.0,266.0,World Championship 2022
Lara GRANIERAmélie RIOU,12,49erFX,7.0,G,20,,309.0,272.0,World Championship 2022
Marla BERGMANNHanna WILLE,12,49erFX,27.0,G,21,,304.0,272.0,World Championship 2022
Shasha CHENMengting WANG,12,49erFX,17.0,G,22,,315.0,278.0,World Championship 2022
Maru SCHEELFreya FEILCKE,12,49erFX,22.0,G,23,,347.0,314.0,World Championship 2022
Sarah STEYAERTCharline PICON,12,49erFX,23.0,G,24,,363.0,326.0,World Championship 2022
Tess LLOYDDervla DUGGAN,12,49erFX,15.0,G,25,,358.0,329.0,World Championship 2022
Olivia PRICEEvie HASELDINE,12,49erFX,(29.0),G,26,,360.0,331.0,World Championship 2022
Carlotta OMARISveva CARRARO,12,49erFX,18.0,G,27,,365.0,333.0,World Championship 2022
Arianna PASSAMONTIGiulia FAVA,12,49erFX,19.0,G,28,,385.0,348.0,World Championship 2022
Misaki TANAKASera NAGAMATSU,12,49erFX,26.0,G,29,,392.0,355.0,World Championship 2022
Nadine BÖHMLena Marie WEIßKICHEL,12,49erFX,(34.0),G,30,,393.0,359.0,World Championship 2022
Lucy WILMOTErika REINEKE,12,49erFX,33.0,G,31,,408.0,371.0,World Championship 2022
Anna YAMAZAKIN/A,12,49erFX,32.0,G,32,,415.0,378.0,World Championship 2022
Marija Andela de MICHELI-VITTURIMihaela de MICHELI VITTURI,12,49erFX,31.0,G,33,,446.0,411.0,World Championship 2022
Hannah STEADMANGabrielle RIZIKA,12,49erFX,28.0,G,34,,512.0,475.0,World Championship 2022
Ronja GRÖNBLOMVeera HOKKA,12,49erFX,25.0,G,35,,528.0,491.0,World Championship 2022
Tate HOWELLAdrianna BAIRD,12,49erFX,37.0,G,36,,535.0,498.0,World Championship 2022
Odile van AANHOLTAnnette DUETZ,12,49erFX,3.0,G,1,,113.0,84.0,World Championship 2022
Vilma BOBECKRebecca NETZLER,12,49erFX,7.0,G,2,,134.0,103.0,World Championship 2022
Támara ECHEGOYENPaula BARCELÓ,12,49erFX,(24.0),G,3,,151.0,127.0,World Championship 2022
Aleksandra MELZACKASandra JANKOWIAK,12,49erFX,26.0,G,4,,183.0,151.0,World Championship 2022
Stephanie ROBLEMaggie SHEA,12,49erFX,2.0,G,5,,187.0,155.0,World Championship 2022
Patricia SUÁREZMaria CANTERO IZQUIERDO,12,49erFX,5.0,G,6,,193.0,161.0,World Championship 2022
Martine GRAELKahena KUNZE,12,49erFX,9.0,G,7,,184.0,164.0,World Championship 2022
Alexandra MALONEYOlivia HOBBS,12,49erFX,4.0,G,8,,201.0,175.0,World Championship 2022
Freya BLACKSaskia TIDEY,12,49erFX,1.0,G,9,,208.0,176.0,World Championship 2022
Isaura MAENHAUTAnouk GEURTS,12,49erFX,12.0,G,10,,221.0,196.0,World Championship 2022
Jo ALEHMolly MEECH,12,49erFX,8.0,G,11,,215.0,183.0,World Championship 2022
Jana GERMANIGiorgia BERTUZZI,12,49erFX,17.0,G,12,,220.0,192.0,World Championship 2022
Helene NÆSSMarie RØNNINGEN,12,49erFX,23.0,G,13,,240.0,214.0,World Championship 2022
Georgia LEWIN-LAFRANCEAntonia LEWIN-LAFRANCE,12,49erFX,(28.0),G,14,,249.1,221.1,World Championship 2022
Inga-Marie HOFMANNCatherine BARTELHEIMER,12,49erFX,21.0,G,15,,255.0,225.0,World Championship 2022
Laura HARDINGAnnie WILMOT,12,49erFX,11.0,G,16,,262.0,231.0,World Championship 2022
Xiaoyu HUXuebin YU,12,49erFX,6.0,G,17,,267.0,232.0,World Championship 2022
Megan BRICKWOODStephanie ORTON,12,49erFX,22.0,G,18,,274.0,241.0,World Championship 2022
Alexandra TEN HOVEMariah MILLEN,12,49erFX,13.0,G,19,,300.0,266.0,World Championship 2022
Lara GRANIERAmélie RIOU,12,49erFX,29.0,G,20,,309.0,272.0,World Championship 2022
Marla BERGMANNHanna WILLE,12,49erFX,16.0,G,21,,304.0,272.0,World Championship 2022
Shasha CHENMengting WANG,12,49erFX,18.0,G,22,,315.0,278.0,World Championship 2022
Maru SCHEELFreya FEILCKE,12,49erFX,15.0,G,23,,347.0,314.0,World Championship 2022
Sarah STEYAERTCharline PICON,12,49erFX,32.0,G,24,,363.0,326.0,World Championship 2022
Tess LLOYDDervla DUGGAN,12,49erFX,19.0,G,25,,358.0,329.0,World Championship 2022
Olivia PRICEEvie HASELDINE,12,49erFX,25.0,G,26,,360.0,331.0,World Championship 2022
Carlotta OMARISveva CARRARO,12,49erFX,20.0,G,27,,365.0,333.0,World Championship 2022
Arianna PASSAMONTIGiulia FAVA,12,49erFX,33.0,G,28,,385.0,348.0,World Championship 2022
Misaki TANAKASera NAGAMATSU,12,49erFX,31.0,G,29,,392.0,355.0,World Championship 2022
Nadine BÖHMLena Marie WEIßKICHEL,12,49erFX,10.0,G,30,,393.0,359.0,World Championship 2022
Lucy WILMOTErika REINEKE,12,49erFX,14.0,G,31,,408.0,371.0,World Championship 2022
Anna YAMAZAKIN/A,12,49erFX,27.0,G,32,,415.0,378.0,World Championship 2022
Marija Andela de MICHELI-VITTURIMihaela de MICHELI VITTURI,12,49erFX,30.0,G,33,,446.0,411.0,World Championship 2022
Hannah STEADMANGabrielle RIZIKA,12,49erFX,34.0,G,34,,512.0,475.0,World Championship 2022
Ronja GRÖNBLOMVeera HOKKA,12,49erFX,(37.0),G,35,,528.0,491.0,World Championship 2022
Tate HOWELLAdrianna BAIRD,12,49erFX,35.0,G,36,,535.0,498.0,World Championship 2022
Odile van AANHOLTAnnette DUETZ,12,49erFX,2.0,G,1,,113.0,84.0,World Championship 2022
Vilma BOBECKRebecca NETZLER,12,49erFX,1.0,G,2,,134.0,103.0,World Championship 2022
Támara ECHEGOYENPaula BARCELÓ,12,49erFX,4.0,G,3,,151.0,127.0,World Championship 2022
Aleksandra MELZACKASandra JANKOWIAK,12,49erFX,9.0,G,4,,183.0,151.0,World Championship 2022
Stephanie ROBLEMaggie SHEA,12,49erFX,8.0,G,5,,187.0,155.0,World Championship 2022
Patricia SUÁREZMaria CANTERO IZQUIERDO,12,49erFX,11.0,G,6,,193.0,161.0,World Championship 2022
Martine GRAELKahena KUNZE,12,49erFX,13.0,G,7,,184.0,164.0,World Championship 2022
Alexandra MALONEYOlivia HOBBS,12,49erFX,7.0,G,8,,201.0,175.0,World Championship 2022
Freya BLACKSaskia TIDEY,12,49erFX,20.0,G,9,,208.0,176.0,World Championship 2022
Isaura MAENHAUTAnouk GEURTS,12,49erFX,16.0,G,10,,221.0,196.0,World Championship 2022
Jo ALEHMolly MEECH,12,49erFX,3.0,G,11,,215.0,183.0,World Championship 2022
Jana GERMANIGiorgia BERTUZZI,12,49erFX,14.0,G,12,,220.0,192.0,World Championship 2022
Helene NÆSSMarie RØNNINGEN,12,49erFX,(26.0),G,13,,240.0,214.0,World Championship 2022
Georgia LEWIN-LAFRANCEAntonia LEWIN-LAFRANCE,12,49erFX,15.1,G,14,,249.1,221.1,World Championship 2022
Inga-Marie HOFMANNCatherine BARTELHEIMER,12,49erFX,17.0,G,15,,255.0,225.0,World Championship 2022
Laura HARDINGAnnie WILMOT,12,49erFX,6.0,G,16,,262.0,231.0,World Championship 2022
Xiaoyu HUXuebin YU,12,49erFX,23.0,G,17,,267.0,232.0,World Championship 2022
Megan BRICKWOODStephanie ORTON,12,49erFX,5.0,G,18,,274.0,241.0,World Championship 2022
Alexandra TEN HOVEMariah MILLEN,12,49erFX,12.0,G,19,,300.0,266.0,World Championship 2022
Lara GRANIERAmélie RIOU,12,49erFX,(37.0),G,20,,309.0,272.0,World Championship 2022
Marla BERGMANNHanna WILLE,12,49erFX,22.0,G,21,,304.0,272.0,World Championship 2022
Shasha CHENMengting WANG,12,49erFX,18.0,G,22,,315.0,278.0,World Championship 2022
Maru SCHEELFreya FEILCKE,12,49erFX,28.0,G,23,,347.0,314.0,World Championship 2022
Sarah STEYAERTCharline PICON,12,49erFX,15.0,G,24,,363.0,326.0,World Championship 2022
Tess LLOYDDervla DUGGAN,12,49erFX,21.0,G,25,,358.0,329.0,World Championship 2022
Olivia PRICEEvie HASELDINE,12,49erFX,19.0,G,26,,360.0,331.0,World Championship 2022
Carlotta OMARISveva CARRARO,12,49erFX,25.0,G,27,,365.0,333.0,World Championship 2022
Arianna PASSAMONTIGiulia FAVA,12,49erFX,10.0,G,28,,385.0,348.0,World Championship 2022
Misaki TANAKASera NAGAMATSU,12,49erFX,(37.0),G,29,,392.0,355.0,World Championship 2022
Nadine BÖHMLena Marie WEIßKICHEL,12,49erFX,30.0,G,30,,393.0,359.0,World Championship 2022
Lucy WILMOTErika REINEKE,12,49erFX,24.0,G,31,,408.0,371.0,World Championship 2022
Anna YAMAZAKIN/A,12,49erFX,27.0,G,32,,415.0,378.0,World Championship 2022
Marija Andela de MICHELI-VITTURIMihaela de MICHELI VITTURI,12,49erFX,29.0,G,33,,446.0,411.0,World Championship 2022
Hannah STEADMANGabrielle RIZIKA,12,49erFX,32.0,G,34,,512.0,475.0,World Championship 2022
Ronja GRÖNBLOMVeera HOKKA,12,49erFX,37.0,G,35,,528.0,491.0,World Championship 2022
Tate HOWELLAdrianna BAIRD,12,49erFX,31.0,G,36,,535.0,498.0,World Championship 2022
Odile van AANHOLTAnnette DUETZ,12,49erFX,5.0,G,1,,113.0,84.0,World Championship 2022
Vilma BOBECKRebecca NETZLER,12,49erFX,3.0,G,2,,134.0,103.0,World Championship 2022
Támara ECHEGOYENPaula BARCELÓ,12,49erFX,4.0,G,3,,151.0,127.0,World Championship 2022
Aleksandra MELZACKASandra JANKOWIAK,12,49erFX,1.0,G,4,,183.0,151.0,World Championship 2022
Stephanie ROBLEMaggie SHEA,12,49erFX,(32.0),G,5,,187.0,155.0,World Championship 2022
Patricia SUÁREZMaria CANTERO IZQUIERDO,12,49erFX,8.0,G,6,,193.0,161.0,World Championship 2022
Martine GRAELKahena KUNZE,12,49erFX,14.0,G,7,,184.0,164.0,World Championship 2022
Alexandra MALONEYOlivia HOBBS,12,49erFX,9.0,G,8,,201.0,175.0,World Championship 2022
Freya BLACKSaskia TIDEY,12,49erFX,6.0,G,9,,208.0,176.0,World Championship 2022
Isaura MAENHAUTAnouk GEURTS,12,49erFX,16.0,G,10,,221.0,196.0,World Championship 2022
Jo ALEHMolly MEECH,12,49erFX,10.0,G,11,,215.0,183.0,World Championship 2022
Jana GERMANIGiorgia BERTUZZI,12,49erFX,11.0,G,12,,220.0,192.0,World Championship 2022
Helene NÆSSMarie RØNNINGEN,12,49erFX,24.0,G,13,,240.0,214.0,World Championship 2022
Georgia LEWIN-LAFRANCEAntonia LEWIN-LAFRANCE,12,49erFX,23.0,G,14,,249.1,221.1,World Championship 2022
Inga-Marie HOFMANNCatherine BARTELHEIMER,12,49erFX,2.0,G,15,,255.0,225.0,World Championship 2022
Laura HARDINGAnnie WILMOT,12,49erFX,25.0,G,16,,262.0,231.0,World Championship 2022
Xiaoyu HUXuebin YU,12,49erFX,21.0,G,17,,267.0,232.0,World Championship 2022
Megan BRICKWOODStephanie ORTON,12,49erFX,19.0,G,18,,274.0,241.0,World Championship 2022
Alexandra TEN HOVEMariah MILLEN,12,49erFX,27.0,G,19,,300.0,266.0,World Championship 2022
Lara GRANIERAmélie RIOU,12,49erFX,15.0,G,20,,309.0,272.0,World Championship 2022
Marla BERGMANNHanna WILLE,12,49erFX,13.0,G,21,,304.0,272.0,World Championship 2022
Shasha CHENMengting WANG,12,49erFX,(37.0),G,22,,315.0,278.0,World Championship 2022
Maru SCHEELFreya FEILCKE,12,49erFX,(33.0),G,23,,347.0,314.0,World Championship 2022
Sarah STEYAERTCharline PICON,12,49erFX,7.0,G,24,,363.0,326.0,World Championship 2022
Tess LLOYDDervla DUGGAN,12,49erFX,18.0,G,25,,358.0,329.0,World Championship 2022
Olivia PRICEEvie HASELDINE,12,49erFX,20.0,G,26,,360.0,331.0,World Championship 2022
Carlotta OMARISveva CARRARO,12,49erFX,22.0,G,27,,365.0,333.0,World Championship 2022
Arianna PASSAMONTIGiulia FAVA,12,49erFX,31.0,G,28,,385.0,348.0,World Championship 2022
Misaki TANAKASera NAGAMATSU,12,49erFX,26.0,G,29,,392.0,355.0,World Championship 2022
Nadine BÖHMLena Marie WEIßKICHEL,12,49erFX,12.0,G,30,,393.0,359.0,World Championship 2022
Lucy WILMOTErika REINEKE,12,49erFX,17.0,G,31,,408.0,371.0,World Championship 2022
Anna YAMAZAKIN/A,12,49erFX,28.0,G,32,,415.0,378.0,World Championship 2022
Marija Andela de MICHELI-VITTURIMihaela de MICHELI VITTURI,12,49erFX,30.0,G,33,,446.0,411.0,World Championship 2022
Hannah STEADMANGabrielle RIZIKA,12,49erFX,29.0,G,34,,512.0,475.0,World Championship 2022
Ronja GRÖNBLOMVeera HOKKA,12,49erFX,37.0,G,35,,528.0,491.0,World Championship 2022
Tate HOWELLAdrianna BAIRD,12,49erFX,34.0,G,36,,535.0,498.0,World Championship 2022
Odile van AANHOLTAnnette DUETZ,12,49erFX,9.0,G,1,,113.0,84.0,World Championship 2022
Vilma BOBECKRebecca NETZLER,12,49erFX,5.0,G,2,,134.0,103.0,World Championship 2022
Támara ECHEGOYENPaula BARCELÓ,12,49erFX,13.0,G,3,,151.0,127.0,World Championship 2022
Aleksandra MELZACKASandra JANKOWIAK,12,49erFX,2.0,G,4,,183.0,151.0,World Championship 2022
Stephanie ROBLEMaggie SHEA,12,49erFX,8.0,G,5,,187.0,155.0,World Championship 2022
Patricia SUÁREZMaria CANTERO IZQUIERDO,12,49erFX,23.0,G,6,,193.0,161.0,World Championship 2022
Martine GRAELKahena KUNZE,12,49erFX,7.0,G,7,,184.0,164.0,World Championship 2022
Alexandra MALONEYOlivia HOBBS,12,49erFX,6.0,G,8,,201.0,175.0,World Championship 2022
Freya BLACKSaskia TIDEY,12,49erFX,10.0,G,9,,208.0,176.0,World Championship 2022
Isaura MAENHAUTAnouk GEURTS,12,49erFX,15.0,G,10,,221.0,196.0,World Championship 2022
Jo ALEHMolly MEECH,12,49erFX,26.0,G,11,,215.0,183.0,World Championship 2022
Jana GERMANIGiorgia BERTUZZI,12,49erFX,3.0,G,12,,220.0,192.0,World Championship 2022
Helene NÆSSMarie RØNNINGEN,12,49erFX,11.0,G,13,,240.0,214.0,World Championship 2022
Georgia LEWIN-LAFRANCEAntonia LEWIN-LAFRANCE,12,49erFX,21.0,G,14,,249.1,221.1,World Championship 2022
Inga-Marie HOFMANNCatherine BARTELHEIMER,12,49erFX,22.0,G,15,,255.0,225.0,World Championship 2022
Laura HARDINGAnnie WILMOT,12,49erFX,(31.0),G,16,,262.0,231.0,World Championship 2022
Xiaoyu HUXuebin YU,12,49erFX,1.0,G,17,,267.0,232.0,World Championship 2022
Megan BRICKWOODStephanie ORTON,12,49erFX,14.0,G,18,,274.0,241.0,World Championship 2022
Alexandra TEN HOVEMariah MILLEN,12,49erFX,12.0,G,19,,300.0,266.0,World Championship 2022
Lara GRANIERAmélie RIOU,12,49erFX,37.0,G,20,,309.0,272.0,World Championship 2022
Marla BERGMANNHanna WILLE,12,49erFX,(32.0),G,21,,304.0,272.0,World Championship 2022
Shasha CHENMengting WANG,12,49erFX,20.0,G,22,,315.0,278.0,World Championship 2022
Maru SCHEELFreya FEILCKE,12,49erFX,4.0,G,23,,347.0,314.0,World Championship 2022
Sarah STEYAERTCharline PICON,12,49erFX,(37.0),G,24,,363.0,326.0,World Championship 2022
Tess LLOYDDervla DUGGAN,12,49erFX,29.0,G,25,,358.0,329.0,World Championship 2022
Olivia PRICEEvie HASELDINE,12,49erFX,19.0,G,26,,360.0,331.0,World Championship 2022
Carlotta OMARISveva CARRARO,12,49erFX,27.0,G,27,,365.0,333.0,World Championship 2022
Arianna PASSAMONTIGiulia FAVA,12,49erFX,17.0,G,28,,385.0,348.0,World Championship 2022
Misaki TANAKASera NAGAMATSU,12,49erFX,28.0,G,29,,392.0,355.0,World Championship 2022
Nadine BÖHMLena Marie WEIßKICHEL,12,49erFX,18.0,G,30,,393.0,359.0,World Championship 2022
Lucy WILMOTErika REINEKE,12,49erFX,24.0,G,31,,408.0,371.0,World Championship 2022
Anna YAMAZAKIN/A,12,49erFX,25.0,G,32,,415.0,378.0,World Championship 2022
Marija Andela de MICHELI-VITTURIMihaela de MICHELI VITTURI,12,49erFX,30.0,G,33,,446.0,411.0,World Championship 2022
Hannah STEADMANGabrielle RIZIKA,12,49erFX,16.0,G,34,,512.0,475.0,World Championship 2022
Ronja GRÖNBLOMVeera HOKKA,12,49erFX,37.0,G,35,,528.0,491.0,World Championship 2022
Tate HOWELLAdrianna BAIRD,12,49erFX,33.0,G,36,,535.0,498.0,World Championship 2022
Odile van AANHOLTAnnette DUETZ,12,49erFX,(29.0),G,1,,113.0,84.0,World Championship 2022
Vilma BOBECKRebecca NETZLER,12,49erFX,(31.0),G,2,,134.0,103.0,World Championship 2022
Támara ECHEGOYENPaula BARCELÓ,12,49erFX,16.0,G,3,,151.0,127.0,World Championship 2022
Aleksandra MELZACKASandra JANKOWIAK,12,49erFX,1.0,G,4,,183.0,151.0,World Championship 2022
Stephanie ROBLEMaggie SHEA,12,49erFX,9.0,G,5,,187.0,155.0,World Championship 2022
Patricia SUÁREZMaria CANTERO IZQUIERDO,12,49erFX,18.0,G,6,,193.0,161.0,World Championship 2022
Martine GRAELKahena KUNZE,12,49erFX,14.0,G,7,,184.0,164.0,World Championship 2022
Alexandra MALONEYOlivia HOBBS,12,49erFX,8.0,G,8,,201.0,175.0,World Championship 2022
Freya BLACKSaskia TIDEY,12,49erFX,3.0,G,9,,208.0,176.0,World Championship 2022
Isaura MAENHAUTAnouk GEURTS,12,49erFX,(25.0),G,10,,221.0,196.0,World Championship 2022
Jo ALEHMolly MEECH,12,49erFX,(32.0),G,11,,215.0,183.0,World Championship 2022
Jana GERMANIGiorgia BERTUZZI,12,49erFX,21.0,G,12,,220.0,192.0,World Championship 2022
Helene NÆSSMarie RØNNINGEN,12,49erFX,11.0,G,13,,240.0,214.0,World Championship 2022
